WarehouseID,WarehouseName,WarehouseType,OpenDate,Address,City,State,Country,Region,ManagerName
1,Shimmer Marvels,Regional Facility,2024-05-23,702 Joshua Orchard Brownland  PR 61958,Mooreton,Rhode Island,United States,Northeast,Colleen Manning
2,Classy Deals,Distribution Center,2017-08-15,499 Kimberly Well Bowmanland  ND 72005,Mcgeeside,Florida,United States,South,Marco Weeks
3,Modern Essentials,Distribution Center,2023-08-30,0740 Michael Glens Apt. 322 Websterview  AK 22374,Port Joel,New Hampshire,United States,Northeast,Steven Strong
4,Purely Sanctuary,Distribution Center,2018-06-05,318 Lewis Lakes Gonzalezland  MO 05941,Davidshire,Hawaii,United States,West,Edward Sellers
5,Purely Shop,Distribution Center,2016-11-08,73287 Shelby Islands South Leslie  OH 42424,New Jack,Tennessee,United States,South,Valerie Norris
6,Luxe Oasis,Distribution Center,2016-10-27,0050 Sanders Ferry Suite 582 East Laurenchester  GU 28735,Port Isabellaton,Mississippi,United States,South,Michael Vargas
7,Purely Perfection,Fulfillment Center,2019-08-12,2702 Anthony Hollow Anneville  MD 43199,Ryanfort,South Dakota,United States,Midwest,Thomas Schmitt
8,Golden Oasis,Sorting Hub,2023-12-14,Unit 4156 Box 2188 DPO AE 01974,Hendrixstad,North Dakota,United States,Midwest,Stephanie Willis
9,Happy Reflections,Regional Facility,2019-10-21,732 Holly Lake Suite 684 East Alexandrastad  AS 02936,Nguyenfurt,North Dakota,United States,Midwest,Christopher Rodriguez MD
10,Eclectic Finds,Regional Facility,2020-05-30,746 Harris Lakes Joshuatown  HI 89802,Jillland,Maine,United States,Northeast,Crystal Ruiz
11,Vintage Elegance,Distribution Center,2021-05-11,43951 Clark Forks Apt. 117 New Louiston  HI 80077,South Melanie,Montana,United States,West,John Brock
12,Eclectic Corner,Distribution Center,2019-08-13,Unit 6915 Box 2262 DPO AE 92521,Port Hollyville,Colorado,United States,West,Mindy Navarro
13,Timeless Corner,Fulfillment Center,2017-03-11,3131 Mason Locks Apt. 834 West Cindymouth  MA 24881,West Shannon,Montana,United States,West,Nicole Graham PhD
14,Artisan Boutique,Distribution Center,2020-01-05,3682 Cathy Wall East Paige  NJ 50368,Villegaston,Mississippi,United States,South,Lynn Anderson
15,Trendy Shop,Sorting Hub,2016-02-27,558 Paula Valleys Hernandezmouth  MO 34440,Johnmouth,Iowa,United States,Midwest,Aaron Duncan
16,Enchanted Marketplace,Regional Facility,2016-02-11,5496 Macdonald Centers Suite 033 East Lisaland  TN 15010,Kristyburgh,North Dakota,United States,Midwest,Madison Wolf
17,Enchanted Loft,Fulfillment Center,2024-04-06,PSC 5295  Box 4069 APO AP 68454,Ryanbury,Massachusetts,United States,Northeast,Gabriel Mills
18,Stylish Treasures,Distribution Center,2016-02-14,003 Kristen Lights Robinsonton  OK 44634,New Christopher,Kansas,United States,Midwest,Erin Walsh
19,Rustic Reflections,Sorting Hub,2018-04-05,942 Scott Viaduct Suite 284 New Michael  FL 07852,East Dwayne,Arizona,United States,West,April Lambert
20,Stylish Avenue,Distribution Center,2016-11-25,64753 Lisa Mount Johnport  PR 04909,North Morgan,Connecticut,United States,Northeast,Carl Valenzuela
21,Rustic Finds,Sorting Hub,2016-06-18,2780 Manuel Landing Lake Josephside  RI 88736,North Brittany,Pennsylvania,United States,Northeast,Andre Miller
22,Shimmer Sanctuary,Sorting Hub,2019-01-16,103 Jared Station Apt. 755 Markfort  MH 41460,North Sandraton,Pennsylvania,United States,Northeast,Angela Benitez
23,Vintage Reflections,Regional Facility,2025-06-06,PSC 0671  Box 4454 APO AA 26967,Craigchester,Pennsylvania,United States,Northeast,Brittney Carter
24,Harmony Elegance,Fulfillment Center,2020-07-24,8335 Haynes Junctions Port Williamborough  NY 95722,North Brianside,Oklahoma,United States,South,Laura Wright
25,Dapper Perfection,Distribution Center,2020-11-22,313 Timothy Plaza East Corey  VA 01606,Lake Bryan,Massachusetts,United States,Northeast,Brandon Knight
26,Timeless Oasis,Distribution Center,2024-01-12,PSC 2682  Box 4698 APO AP 70043,Coxfurt,Utah,United States,West,Aimee Boyd
27,Golden Elegance,Sorting Hub,2018-04-18,63477 Samuel Orchard Suite 154 Fosterchester  MP 31945,Joshuahaven,Michigan,United States,Midwest,Mrs. Michelle Scott DDS
28,Timeless Shop,Distribution Center,2017-06-27,540 Oscar Loop Williamborough  OH 14634,Rachelton,Mississippi,United States,South,Amy Carlson
29,Blissful Oasis,Distribution Center,2018-10-02,3729 Cummings Ports Suite 751 Brianville  VI 11842,North Valeriechester,Delaware,United States,South,Jonathan Johnson
